owner,type,violations,buildings,viol_per_bldg,top_category,top_district,d1,d2,d3,d4,d5,d6,d7,d8,d9
BLAIR FAMILY REAL ESTATE LP,Limited Partnership,37,6,6.2,Uncategorized,2,0,37,0,0,0,0,0,0,0
ALTPIM LLC,LLC,37,4,9.2,Uncategorized,8,0,10,0,0,0,9,0,15,3
PABST LOMA LLC,LLC,37,3,12.3,Uncategorized,3,0,0,37,0,0,0,0,0,0
MJC88 LLC,LLC,37,1,37.0,Uncategorized,6,0,0,0,0,0,37,0,0,0
WOODBRIDGE APARTMENTS LP,Limited Partnership,37,2,18.5,Uncategorized,7,0,0,0,0,0,8,29,0,0
811 AND 817 ROSE AVE LB LLC,LLC,36,2,18.0,Uncategorized,1,36,0,0,0,0,0,0,0,0
"BERENS,GERARD P CO TR  BERENS",Corporation,36,2,18.0,Uncategorized,1,32,0,0,0,0,4,0,0,0
816 829 WALNUT APARTMENTS LLC,LLC,36,2,18.0,Uncategorized,1,36,0,0,0,0,0,0,0,0
ALAMITOS AVE 900 LLC,LLC,36,2,18.0,Uncategorized,1,36,0,0,0,0,0,0,0,0
SUNSTONE OCEAN LLC,LLC,36,1,36.0,COVID,1,36,0,0,0,0,0,0,0,0
SP 927 DAISY LLC,LLC,36,1,36.0,Uncategorized,1,36,0,0,0,0,0,0,0,0
CF WALKER BUILDING LLC,LLC,36,5,7.2,COVID,1,36,0,0,0,0,0,0,0,0
1615 BROADWAY G AND B LLC,LLC,36,3,12.0,Uncategorized,2,0,36,0,0,0,0,0,0,0
RLMA GODIN INVESTMENTS LLC,LLC,36,8,4.5,Uncategorized,5,0,0,0,0,29,0,0,7,0
1505 EAST 11TH STREET LLC,LLC,36,1,36.0,Uncategorized,6,0,0,0,0,0,36,0,0,0
SOUTHSTREET PARTNERS LLC,LLC,36,1,36.0,Uncategorized,8,0,0,0,0,0,0,0,36,0
TALAMENTES EQUITIES LLC,LLC,36,2,18.0,Uncategorized,8,0,0,0,0,0,0,0,36,0
DINOSONT LLC,LLC,36,1,36.0,Uncategorized,9,0,0,0,0,0,0,0,0,36
327 W 6TH STREET INVESTORS LP,Limited Partnership,35,1,35.0,Uncategorized,1,35,0,0,0,0,0,0,0,0
